timestamp,vehicle
1678672800000,28
1678676400000,30
1678680000000,23
1678683600000,61
1678687200000,125
1678690800000,563
1678694400000,1179
1678698000000,1124
1678701600000,1027
1678705200000,961
1678708800000,1106
1678712400000,1225
1678716000000,1091
1678719600000,1154
1678723200000,1270
1678726800000,1458
1678730400000,1522
1678734000000,1305
1678737600000,843
1678741200000,596
1678744800000,442
1678748400000,255
1678752000000,171
1678755600000,44
1678759200000,41
1678762800000,29
1678766400000,27
1678770000000,54
1678773600000,150
1678777200000,676
1678780800000,1309
1678784400000,1034
1678788000000,990
1678791600000,964
1678795200000,1102
1678798800000,1199
1678802400000,1205
1678806000000,1123
1678809600000,1316
1678813200000,1461
1678816800000,1479
1678820400000,1386
1678824000000,930
1678827600000,538
1678831200000,475
1678834800000,303
1678838400000,172
1678842000000,83
1678845600000,45
1678849200000,23
1678852800000,39
1678856400000,53
1678860000000,125
1678863600000,699
1678867200000,1313
1678870800000,1079
1678874400000,975
1678878000000,897
1678881600000,1133
1678885200000,1246
1678888800000,1110
1678892400000,1225
1678896000000,1310
1678899600000,1435
1678903200000,1469
1678906800000,1325
1678910400000,1006
1678914000000,613
1678917600000,490
1678921200000,352
1678924800000,202
1678928400000,77
1678932000000,46
1678935600000,26
1678939200000,30
1678942800000,52
1678946400000,141
1678950000000,705
1678953600000,1334
1678957200000,1173
1678960800000,1002
1678964400000,911
1678968000000,1124
1678971600000,1249
1678975200000,1181
1678978800000,1172
1678982400000,1284
1678986000000,1448
1678989600000,1104
1678993200000,1035
1678996800000,882
1679000400000,535
1679004000000,415
1679007600000,313
1679011200000,194
1679014800000,119
1679018400000,71
1679022000000,81
1679025600000,75
1679029200000,89
1679032800000,188
1679036400000,538
1679040000000,1286
1679043600000,1067
1679047200000,932
1679050800000,869
1679054400000,1137
1679058000000,1261
1679061600000,1201
1679065200000,1185
1679068800000,1279
1679072400000,1433
1679076000000,1519
1679079600000,1327
1679083200000,1041
1679086800000,649
1679090400000,607
1679094000000,460
1679097600000,310
1679101200000,175
1679104800000,129
1679108400000,73
1679112000000,67
1679115600000,63
1679119200000,97
1679122800000,283
1679126400000,479
1679130000000,628
1679133600000,748
1679137200000,967
1679140800000,996
1679144400000,905
1679148000000,865
1679151600000,1019
1679155200000,864
1679158800000,978
1679162400000,868
1679166000000,939
1679169600000,785
1679173200000,582
1679176800000,491
1679180400000,476
1679184000000,368
1679187600000,188
1679191200000,159
1679194800000,90
1679198400000,69
1679202000000,45
1679205600000,88
1679209200000,192
1679212800000,248
1679216400000,447
1679220000000,659
1679223600000,900
1679227200000,1012
1679230800000,772
1679234400000,923
1679238000000,1307
1679241600000,1255
1679245200000,1152
1679248800000,1141
1679252400000,1047
1679256000000,782
1679259600000,554
1679263200000,435
1679266800000,219
1679270400000,137
1679274000000,51
1679277600000,29
1679281200000,27
1679284800000,20
1679288400000,46
1679292000000,126
1679295600000,685
1679299200000,1319
1679302800000,1119
1679306400000,936
1679310000000,972
1679313600000,1123
1679317200000,1158
1679320800000,1159
1679324400000,1137
1679328000000,1246
1679331600000,1468
1679335200000,1417
1679338800000,1306
1679342400000,894
1679346000000,587
1679349600000,464
1679353200000,293
1679356800000,176
1679360400000,67
1679364000000,52
1679367600000,16
1679371200000,25
1679374800000,54
1679378400000,131
1679382000000,698
1679385600000,1311
1679389200000,1162
1679392800000,985
1679396400000,951
1679400000000,1135
1679403600000,1275
1679407200000,1174
1679410800000,1146
1679414400000,1341
1679418000000,1428
1679421600000,1449
1679425200000,1348
1679428800000,1011
1679432400000,556
1679436000000,445
1679439600000,305
1679443200000,176
1679446800000,87
1679450400000,46
1679454000000,29
1679457600000,37
1679461200000,54
1679464800000,119
1679468400000,680
1679472000000,1309
1679475600000,1077
1679479200000,933
1679482800000,949
1679486400000,1118
1679490000000,1285
1679493600000,1261
1679497200000,1220
1679500800000,1251
1679504400000,1459
1679508000000,1451
1679511600000,1255
1679515200000,1080
1679518800000,651
1679522400000,480
1679526000000,380
1679529600000,216
1679533200000,61
1679536800000,33
1679540400000,26
1679544000000,23
1679547600000,44
1679551200000,146
1679554800000,708
1679558400000,1346
1679562000000,1177
1679565600000,902
1679569200000,971
1679572800000,1102
1679576400000,1127
1679580000000,1120
1679583600000,1117
1679587200000,1243
1679590800000,1365
1679594400000,1396
1679598000000,1283
1679601600000,888
1679605200000,549
1679608800000,501
1679612400000,310
1679616000000,215
1679619600000,165
1679623200000,68
1679626800000,59
1679630400000,86
1679634000000,73
1679637600000,171
1679641200000,626
1679644800000,1220
1679648400000,1146
1679652000000,985
1679655600000,946
1679659200000,1139
1679662800000,1298
1679666400000,1207
1679670000000,1195
1679673600000,1306
1679677200000,1380
1679680800000,1457
1679684400000,1362
1679688000000,1052
1679691600000,741
1679695200000,627
1679698800000,496
1679702400000,326
1679706000000,201
1679709600000,99
1679713200000,73
1679716800000,56
1679720400000,72
1679724000000,107
1679727600000,342
1679731200000,503
1679734800000,719
1679738400000,861
1679742000000,943
1679745600000,1024
1679749200000,940
1679752800000,896
1679756400000,1064
1679760000000,925
1679763600000,940
1679767200000,927
1679770800000,913
1679774400000,804
1679778000000,601
1679781600000,557
1679785200000,459
1679788800000,252.5
1679796000000,208
1679799600000,123
1679803200000,110
1679806800000,56
1679810400000,81
1679814000000,181
1679817600000,204
1679821200000,397
1679824800000,708
1679828400000,697
1679832000000,891
1679835600000,835
1679839200000,920
1679842800000,1347
1679846400000,1348
1679850000000,1184
1679853600000,1099
1679857200000,1094
1679860800000,795
1679864400000,589
1679868000000,458
1679871600000,250
1679875200000,181
1679878800000,52
1679882400000,24
1679886000000,24
1679889600000,29
1679893200000,47
